Date/Time,Whole Building:Facility Total Building Electricity Demand Rate [W](Hourly),Whole Building:Facility Total HVAC Electricity Demand Rate [W](Hourly),Whole Building:Facility Total Electricity Demand Rate [W](Hourly),Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly)
 06/15  09:00:00,861.9205337326975,0.0,861.9205337326975,3102913.9214377115,0.0,0.0,0.0,295934.7717255276,2796873.8252472132
 06/15  10:00:00,840.7485124178163,0.0,840.7485124178163,3026694.6447041384,0.0,0.0,0.0,287439.0366520675,2731315.7102581654
 06/15  11:00:00,746.5865001143852,88.73695884807918,835.3234589624644,3007164.452264872,319453.05185308505,0.0,0.0,276111.389887454,2406186.4438466704
 06/15  12:00:00,757.4119821671818,44.43853931563365,801.8505214828153,2886661.8773381356,159978.74153628113,0.0,0.0,269031.6106595706,2453320.6718001533
 06/15  13:00:00,756.5250887959787,11.315391349152744,767.8404801451314,2764225.728522473,40735.40885694988,0.0,0.0,266199.6989684172,2453320.6718001533
 06/15  14:00:00,750.2059960292386,0.0,750.2059960292386,2700741.585705259,0.0,0.0,0.0,266199.6989684172,2430571.937839889
 06/15  15:00:00,759.5575586317656,0.0,759.5575586317656,2734407.211074356,0.0,0.0,0.0,266199.6989684172,2463876.6587638087
 06/15  16:00:00,1118.8741021386581,0.0,1118.8741021386581,4027946.76769917,0.0,0.0,0.0,267615.6548139939,3753473.928426803
 06/15  17:00:00,1265.7085045508043,0.0,1265.7085045508043,4556550.616382895,0.0,0.0,0.0,271863.5223507239,4271333.629560603
 06/15  18:00:00,4320.35053660297,0.0,4320.35053660297,15553261.931770694,0.0,0.0,0.0,288854.99249764415,15246722.621459352
 06/15  19:00:00,6577.169431569058,0.0,6577.169431569058,23677809.953648612,0.0,0.0,0.0,328501.7561737915,23325849.408538282
 06/15  20:00:00,4631.21752649584,0.0,4631.21752649584,16672383.095385022,0.0,0.0,0.0,403547.4159893558,16235993.374884512
 06/15  21:00:00,6240.677288368996,0.0,6240.677288368996,22466438.238128386,0.0,0.0,0.0,501248.3693341472,21927294.9020506
 06/15  22:00:00,780.3623231785292,0.0,780.3623231785292,2809304.363442705,0.0,0.0,0.0,416291.018599546,2360171.0403320054
 06/15  23:00:00,684.0335580217182,2.0721615786707566,686.105719600389,2469980.5905614006,7459.781683214724,0.0,0.0,210977.4209909264,2228806.407841076
 06/15  24:00:00,648.3028012993432,32.17493303355688,680.4777343329,2449719.84359844,115829.7589208048,0.0,0.0,109205.59459010199,2208082.885609368
 06/16  01:00:00,675.8200673481531,64.70884586519756,740.5289132133506,2665904.0875680624,232951.8451147112,0.0,0.0,69806.62318693068,2346544.0147882546
 06/16  02:00:00,642.3329419476566,0.0,642.3329419476566,2312398.591011564,0.0,0.0,0.0,69806.62318693068,2226351.267791645
 06/16  03:00:00,638.9460677819319,0.0,638.9460677819319,2300205.8440149548,0.0,0.0,0.0,69806.62318693068,2214158.520795036
 06/16  04:00:00,635.6594448509786,0.0,635.6594448509786,2288374.001463523,0.0,0.0,0.0,69806.62318693068,2201965.7737984266
 06/16  05:00:00,635.559193616207,0.0,635.559193616207,2288013.0970183453,0.0,0.0,0.0,69806.62318693068,2201965.7737984266
